id,approach1,approach2,approach3
1,2,1,0
2,0,0,0
3,0,2,0
4,3,3,0
5,2,1,0
6,3,4,1
7,1,1,0
8,0,0,0
9,1,1,0
10,0,0,0
11,1,0,0
12,1,1,4
13,0,1,0
14,1,1,1
15,1,1,0
16,1,2,0
17,4,4,1
18,4,4,0
19,0,0,0
20,3,3,0
21,2,2,0
22,0,1,0
23,1,1,0
24,0,3,0
25,3,3,0
26,3,4,0
27,1,1,1
28,1,3,0
29,0,0,0
30,4,3,0
31,1,2,0
32,4,3,3
33,2,2,0
34,3,3,1
35,1,2,0
36,0,1,0
37,0,1,0
38,3,2,0
39,1,1,2
40,1,1,0
41,1,1,0
42,2,2,0
43,0,0,0
44,1,1,0
45,4,4,1
46,0,1,0
47,1,1,1
48,1,1,0
49,1,0,1
50,1,1,0
51,4,2,0
52,1,0,0
53,2,2,0
54,1,1,0
55,2,2,0
56,3,2,3
57,0,1,0
58,0,1,0
59,3,3,4
60,0,3,0
61,1,2,0
62,2,2,0
63,0,4,0
64,1,3,0
65,1,1,1
66,0,2,1
67,1,1,0
68,2,1,3
69,1,1,0
70,1,1,0
71,1,2,0
72,0,1,0
73,1,1,1
74,2,2,0
75,4,3,0
76,0,1,0
77,3,3,0
78,2,1,0
79,2,3,0
80,3,3,0
81,0,3,0
82,1,1,0
83,4,2,4
84,3,3,1
85,2,2,0
86,3,3,0
87,0,1,0
88,4,4,3
89,2,2,0
90,2,3,0
91,0,0,0
92,3,3,1
93,3,3,1
94,4,4,0
95,2,2,0
96,1,0,0
97,4,4,0
98,2,1,0
99,1,1,0
100,2,0,0
